(2, 3, 0)
((0, 0), (31, 31), 0)
(0, 0, 0, 1.6613105297793607e+00)
(0, 0, 1, 6.9616578247930172e-01)
(0, 0, 2, 2.7055737116080469e-01)
(0, 1, 0, 1.6613105297793607e+00)
(0, 1, 1, 6.9616578247930172e-01)
(0, 1, 2, 2.7055737116080469e-01)
(0, 2, 0, 1.6613105297793607e+00)
(0, 2, 1, 6.9616578247930172e-01)
(0, 2, 2, 2.7055737116080469e-01)
(0, 3, 0, 1.6613105297793607e+00)
(0, 3, 1, 6.9616578247930172e-01)
(0, 3, 2, 2.7055737116080469e-01)
(0, 4, 0, 1.6613105297793607e+00)
(0, 4, 1, 6.9616578247930172e-01)
(0, 4, 2, 2.7055737116080469e-01)
(0, 5, 0, 1.6613105297793607e+00)
(0, 5, 1, 6.9616578247930172e-01)
(0, 5, 2, 2.7055737116080469e-01)
(0, 6, 0, 1.6613105297793607e+00)
(0, 6, 1, 6.9616578247930172e-01)
(0, 6, 2, 2.7055737116080469e-01)
(0, 7, 0, 1.6613105297793607e+00)
(0, 7, 1, 6.9616578247930172e-01)
(0, 7, 2, 2.7055737116080469e-01)
(0, 8, 0, 1.6613105297793607e+00)
(0, 8, 1, 6.9616578247930172e-01)
(0, 8, 2, 2.7055737116080469e-01)
(0, 9, 0, 1.6613105297793607e+00)
(0, 9, 1, 6.9616578247930172e-01)
(0, 9, 2, 2.7055737116080469e-01)
(0, 10, 0, 1.6613105297793607e+00)
(0, 10, 1, 6.9616578247930172e-01)
(0, 10, 2, 2.7055737116080469e-01)
(0, 11, 0, 1.6613105297793607e+00)
(0, 11, 1, 6.9616578247930172e-01)
(0, 11, 2, 2.7055737116080469e-01)
(0, 12, 0, 1.6613105297793607e+00)
(0, 12, 1, 6.9616578247930172e-01)
(0, 12, 2, 2.7055737116080469e-01)
(0, 13, 0, 1.6613105297793607e+00)
(0, 13, 1, 6.9616578247930172e-01)
(0, 13, 2, 2.7055737116080469e-01)
(0, 14, 0, 1.6613105297793607e+00)
(0, 14, 1, 6.9616578247930172e-01)
(0, 14, 2, 2.7055737116080469e-01)
(0, 15, 0, 1.6613105297793607e+00)
(0, 15, 1, 6.9616578247930172e-01)
(0, 15, 2, 2.7055737116080469e-01)
(0, 16, 0, 1.6613105297793607e+00)
(0, 16, 1, 6.9616578247930172e-01)
(0, 16, 2, 2.7055737116080469e-01)
(0, 17, 0, 1.6613105297793607e+00)
(0, 17, 1, 6.9616578247930172e-01)
(0, 17, 2, 2.7055737116080469e-01)
(0, 18, 0, 1.6613105297793607e+00)
(0, 18, 1, 6.9616578247930172e-01)
(0, 18, 2, 2.7055737116080469e-01)
(0, 19, 0, 1.6613105297793607e+00)
(0, 19, 1, 6.9616578247930172e-01)
(0, 19, 2, 2.7055737116080469e-01)
(0, 20, 0, 1.6613105297793607e+00)
(0, 20, 1, 6.9616578247930172e-01)
(0, 20, 2, 2.7055737116080469e-01)
(0, 21, 0, 1.6613105297793607e+00)
(0, 21, 1, 6.9616578247930172e-01)
(0, 21, 2, 2.7055737116080469e-01)
(0, 22, 0, 1.6613105297793607e+00)
(0, 22, 1, 6.9616578247930172e-01)
(0, 22, 2, 2.7055737116080469e-01)
(0, 23, 0, 1.6613105297793607e+00)
(0, 23, 1, 6.9616578247930172e-01)
(0, 23, 2, 2.7055737116080469e-01)
(0, 24, 0, 1.6613105297793607e+00)
(0, 24, 1, 6.9616578247930172e-01)
(0, 24, 2, 2.7055737116080469e-01)
(0, 25, 0, 1.6613105297793607e+00)
(0, 25, 1, 6.9616578247930172e-01)
(0, 25, 2, 2.7055737116080469e-01)
(0, 26, 0, 1.6613105297793607e+00)
(0, 26, 1, 6.9616578247930172e-01)
(0, 26, 2, 2.7055737116080469e-01)
(0, 27, 0, 1.6613105297793607e+00)
(0, 27, 1, 6.9616578247930172e-01)
(0, 27, 2, 2.7055737116080469e-01)
(0, 28, 0, 1.6613105297793607e+00)
(0, 28, 1, 6.9616578247930172e-01)
(0, 28, 2, 2.7055737116080469e-01)
(0, 29, 0, 1.6613105297793607e+00)
(0, 29, 1, 6.9616578247930172e-01)
(0, 29, 2, 2.7055737116080469e-01)
(0, 30, 0, 1.6613105297793607e+00)
(0, 30, 1, 6.9616578247930172e-01)
(0, 30, 2, 2.7055737116080469e-01)
(0, 31, 0, 1.6613105297793607e+00)
(0, 31, 1, 6.9616578247930172e-01)
(0, 31, 2, 2.7055737116080469e-01)
(1, 0, 0, 1.6619740710573525e+00)
(1, 0, 1, 6.9648249878519042e-01)
(1, 0, 2, 2.7066913138833443e-01)
(1, 1, 0, 1.6619740710573525e+00)
(1, 1, 1, 6.9648249878519042e-01)
(1, 1, 2, 2.7066913138833443e-01)
(1, 2, 0, 1.6619740710573525e+00)
(1, 2, 1, 6.9648249878519042e-01)
(1, 2, 2, 2.7066913138833443e-01)
(1, 3, 0, 1.6619740710573525e+00)
(1, 3, 1, 6.9648249878519042e-01)
(1, 3, 2, 2.7066913138833443e-01)
(1, 4, 0, 1.6619740710573525e+00)
(1, 4, 1, 6.9648249878519042e-01)
(1, 4, 2, 2.7066913138833443e-01)
(1, 5, 0, 1.6619740710573525e+00)
(1, 5, 1, 6.9648249878519042e-01)
(1, 5, 2, 2.7066913138833443e-01)
(1, 6, 0, 1.6619740710573525e+00)
(1, 6, 1, 6.9648249878519042e-01)
(1, 6, 2, 2.7066913138833443e-01)
(1, 7, 0, 1.6619740710573525e+00)
(1, 7, 1, 6.9648249878519042e-01)
(1, 7, 2, 2.7066913138833443e-01)
(1, 8, 0, 1.6619740710573525e+00)
(1, 8, 1, 6.9648249878519042e-01)
(1, 8, 2, 2.7066913138833443e-01)
(1, 9, 0, 1.6619740710573525e+00)
(1, 9, 1, 6.9648249878519042e-01)
(1, 9, 2, 2.7066913138833443e-01)
